2026-04-18 14:48:45 | CAMERA | Camera stopped
2026-04-18 14:48:56 | AUTH | Incorrect password for admin
2026-04-18 14:51:15 | CAMERA | Camera stopped
2026-04-18 14:51:34 | AUTH | Incorrect password for admin
2026-04-18 14:53:39 | CAMERA | Camera stopped
2026-04-18 14:53:49 | AUTH | Login successful for admin
2026-04-18 14:53:49 | AUTH | Generated provisioning URI for admin
2026-04-18 14:54:30 | CAMERA | Camera stopped
2026-04-18 14:54:31 | AUTH | Login successful for admin
2026-04-18 14:54:31 | AUTH | Generated provisioning URI for admin
2026-04-18 14:54:33 | AUTH | OTP verification attempt: failure
2026-04-18 15:03:09 | CAMERA | Camera stopped
2026-04-18 15:03:21 | CAMERA | Camera stopped
2026-04-18 15:03:30 | AUTH | Login successful for admin
2026-04-18 15:03:30 | AUTH | Generated provisioning URI for admin
2026-04-18 15:03:47 | AUTH | OTP verification attempt: success
2026-04-18 15:03:47 | CAMERA | Camera stopped
2026-04-18 15:03:50 | CAMERA | Camera started
2026-04-18 15:03:50 | CAMERA | Camera permission granted for admin
2026-04-18 15:04:04 | CAMERA | Face blur set to OFF for admin
2026-04-18 15:04:06 | CAMERA | Face blur set to ON for admin
2026-04-18 15:04:08 | CAMERA | Camera stopped
2026-04-18 15:05:39 | CAMERA | Camera stopped
2026-04-18 15:06:07 | CAMERA | Camera stopped
2026-04-18 15:06:17 | AUTH | Login successful for admin
2026-04-18 15:06:17 | AUTH | Generated provisioning URI for admin
2026-04-18 15:06:30 | AUTH | OTP verification attempt: success
2026-04-18 15:06:30 | CAMERA | Camera stopped
2026-04-18 15:06:34 | CAMERA | Camera started
2026-04-18 15:06:34 | CAMERA | Camera permission granted for admin
2026-04-18 15:07:05 | CAMERA | Face blur set to OFF for admin
2026-04-18 15:07:09 | CAMERA | Face blur set to ON for admin
2026-04-18 15:07:17 | CAMERA | Camera stopped
2026-04-18 15:07:44 | CAMERA | Face blur set to OFF for admin
